Timestamp,ENSEM_ENSAIA/ENSAIA - CTA Mauduit - Temp. Ambiante Haute (°C)
3 févr. 2024 12:45:09 CET,"18,4"
3 févr. 2024 13:00:07 CET,"18,4"
3 févr. 2024 13:15:07 CET,"18,4"
3 févr. 2024 13:30:07 CET,"18,4"
3 févr. 2024 13:45:07 CET,"18,4"
3 févr. 2024 14:00:07 CET,"18,4"
3 févr. 2024 14:15:07 CET,"18,4"
3 févr. 2024 14:30:08 CET,"18,4"
3 févr. 2024 14:45:08 CET,"18,4"
3 févr. 2024 15:00:08 CET,"18,4"
3 févr. 2024 15:15:08 CET,"18,4"
3 févr. 2024 15:30:07 CET,"18,4"
3 févr. 2024 15:45:07 CET,"18,4"
3 févr. 2024 16:00:07 CET,"18,4"
3 févr. 2024 16:15:08 CET,"18,4"
3 févr. 2024 16:30:08 CET,"18,4"
3 févr. 2024 16:45:08 CET,"18,4"
3 févr. 2024 17:00:07 CET,"18,4"
3 févr. 2024 17:15:07 CET,"18,4"
3 févr. 2024 17:30:08 CET,"18,4"
3 févr. 2024 17:45:09 CET,"18,4"
3 févr. 2024 18:00:00 CET,"18,4"
3 févr. 2024 18:15:07 CET,"18,4"
3 févr. 2024 18:30:07 CET,"18,4"
3 févr. 2024 18:45:08 CET,"18,4"
3 févr. 2024 19:00:07 CET,"18,4"
3 févr. 2024 19:15:07 CET,"18,4"
3 févr. 2024 19:30:07 CET,"18,4"
3 févr. 2024 19:45:08 CET,"18,4"
3 févr. 2024 20:00:09 CET,"18,4"
3 févr. 2024 20:15:07 CET,"18,4"
3 févr. 2024 20:30:07 CET,"18,4"
3 févr. 2024 20:45:07 CET,"18,4"
3 févr. 2024 21:00:08 CET,"18,4"
3 févr. 2024 21:15:08 CET,"18,4"
3 févr. 2024 21:30:07 CET,"18,4"
3 févr. 2024 21:45:07 CET,"18,4"
3 févr. 2024 22:00:09 CET,"18,4"
3 févr. 2024 22:15:09 CET,"18,4"
3 févr. 2024 22:30:07 CET,"18,4"
3 févr. 2024 22:45:08 CET,"18,4"
3 févr. 2024 23:00:07 CET,"18,4"
3 févr. 2024 23:15:07 CET,"18,4"
3 févr. 2024 23:30:07 CET,"18,4"
3 févr. 2024 23:45:07 CET,"18,4"
4 févr. 2024 00:00:09 CET,"18,4"
4 févr. 2024 00:15:08 CET,"18,4"
4 févr. 2024 00:30:08 CET,"18,4"
4 févr. 2024 00:45:00 CET,"18,4"
4 févr. 2024 01:00:18 CET,"18,4"
4 févr. 2024 01:15:07 CET,"18,4"
4 févr. 2024 01:30:07 CET,"18,4"
4 févr. 2024 01:45:07 CET,"18,4"
4 févr. 2024 02:00:08 CET,"18,4"
4 févr. 2024 02:15:09 CET,"18,4"
4 févr. 2024 02:30:09 CET,"18,4"
4 févr. 2024 02:45:07 CET,"18,4"
4 févr. 2024 03:00:07 CET,"18,4"
4 févr. 2024 03:15:07 CET,"18,4"
4 févr. 2024 03:30:07 CET,"18,4"
