Timestamp,ENSEM_ENSAIA/Centrale mesure générale-intensité moyenne (A)
7 févr. 2024 09:14:12 CET,"69,9"
7 févr. 2024 09:14:27 CET,"73,6"
7 févr. 2024 09:14:42 CET,"73,2"
7 févr. 2024 09:14:57 CET,"72,6"
7 févr. 2024 09:15:15 CET,"72,9"
7 févr. 2024 09:15:27 CET,"73,2"
7 févr. 2024 09:15:42 CET,"73,3"
7 févr. 2024 09:16:12 CET,"73,9"
7 févr. 2024 09:16:27 CET,"72,8"
7 févr. 2024 09:16:43 CET,"73,5"
7 févr. 2024 09:16:58 CET,"73,7"
7 févr. 2024 09:17:13 CET,"74,4"
7 févr. 2024 09:17:28 CET,"73,9"
7 févr. 2024 09:17:43 CET,"73,5"
7 févr. 2024 09:17:58 CET,"73,4"
7 févr. 2024 09:18:13 CET,"78,7"
7 févr. 2024 09:18:28 CET,"78,1"
7 févr. 2024 09:18:43 CET,"77,5"
7 févr. 2024 09:18:58 CET,"77,1"
7 févr. 2024 09:19:13 CET,"77,9"
7 févr. 2024 09:19:28 CET,"78,2"
7 févr. 2024 09:19:43 CET,"73,9"
7 févr. 2024 09:19:59 CET,"73,0"
7 févr. 2024 09:20:14 CET,"72,4"
7 févr. 2024 09:20:59 CET,"72,2"
7 févr. 2024 09:21:14 CET,"73,3"
7 févr. 2024 09:21:29 CET,"73,2"
7 févr. 2024 09:21:44 CET,"76,8"
7 févr. 2024 09:21:59 CET,"76,6"
7 févr. 2024 09:22:14 CET,"79,2"
7 févr. 2024 09:22:29 CET,"78,4"
7 févr. 2024 09:22:44 CET,"81,5"
7 févr. 2024 09:22:59 CET,"77,9"
7 févr. 2024 09:23:14 CET,"79,4"
7 févr. 2024 09:23:29 CET,"79,8"
7 févr. 2024 09:23:45 CET,"79,0"
7 févr. 2024 09:24:00 CET,"79,3"
7 févr. 2024 09:24:15 CET,"81,1"
7 févr. 2024 09:24:30 CET,"80,2"
7 févr. 2024 09:24:45 CET,"83,9"
7 févr. 2024 09:25:00 CET,"83,6"
7 févr. 2024 09:25:15 CET,"84,7"
7 févr. 2024 09:25:30 CET,"87,1"
7 févr. 2024 09:26:00 CET,"86,4"
7 févr. 2024 09:26:15 CET,"81,6"
7 févr. 2024 09:26:30 CET,"80,0"
7 févr. 2024 09:26:45 CET,"80,9"
7 févr. 2024 09:27:00 CET,"78,4"
7 févr. 2024 09:27:16 CET,"79,2"
7 févr. 2024 09:27:46 CET,"72,8"
7 févr. 2024 09:28:01 CET,"72,6"
7 févr. 2024 09:28:16 CET,"74,2"
7 févr. 2024 09:28:31 CET,"73,6"
7 févr. 2024 09:28:46 CET,"72,5"
7 févr. 2024 09:29:16 CET,"73,1"
