Timestamp,ENSEM_ENSAIA/Centrale mesure générale-intensité moyenne (A)
7 févr. 2024 11:09:31 CET,"93,4"
7 févr. 2024 11:09:46 CET,"94,0"
7 févr. 2024 11:10:01 CET,"93,5"
7 févr. 2024 11:10:16 CET,"90,4"
7 févr. 2024 11:10:32 CET,"95,7"
7 févr. 2024 11:10:47 CET,"99,4"
7 févr. 2024 11:11:02 CET,"94,3"
7 févr. 2024 11:11:17 CET,"86,0"
7 févr. 2024 11:11:32 CET,"89,9"
7 févr. 2024 11:11:47 CET,"94,2"
7 févr. 2024 11:12:02 CET,"90,2"
7 févr. 2024 11:12:17 CET,"86,5"
7 févr. 2024 11:12:32 CET,"89,7"
7 févr. 2024 11:12:47 CET,"94,1"
7 févr. 2024 11:13:02 CET,"90,6"
7 févr. 2024 11:13:17 CET,"86,0"
7 févr. 2024 11:13:32 CET,"87,5"
7 févr. 2024 11:13:47 CET,"93,4"
7 févr. 2024 11:14:03 CET,"92,5"
7 févr. 2024 11:14:18 CET,"88,3"
7 févr. 2024 11:14:33 CET,"88,0"
7 févr. 2024 11:14:48 CET,"89,7"
7 févr. 2024 11:15:15 CET,"96,2"
7 févr. 2024 11:15:18 CET,"92,4"
7 févr. 2024 11:15:33 CET,"89,6"
7 févr. 2024 11:15:48 CET,"91,8"
7 févr. 2024 11:16:03 CET,"98,9"
7 févr. 2024 11:16:18 CET,"96,0"
7 févr. 2024 11:16:33 CET,"92,1"
7 févr. 2024 11:16:48 CET,"93,1"
7 févr. 2024 11:17:03 CET,"99,4"
7 févr. 2024 11:17:19 CET,"96,2"
7 févr. 2024 11:17:34 CET,"93,8"
7 févr. 2024 11:17:49 CET,"91,9"
7 févr. 2024 11:18:04 CET,"91,3"
7 févr. 2024 11:18:19 CET,"95,3"
7 févr. 2024 11:18:34 CET,"94,6"
7 févr. 2024 11:18:49 CET,"89,9"
7 févr. 2024 11:19:19 CET,"95,6"
7 févr. 2024 11:19:34 CET,"94,4"
7 févr. 2024 11:19:49 CET,"85,4"
7 févr. 2024 11:20:04 CET,"86,5"
7 févr. 2024 11:20:20 CET,"91,3"
7 févr. 2024 11:20:35 CET,"91,1"
7 févr. 2024 11:20:50 CET,"91,5"
7 févr. 2024 11:21:05 CET,"85,6"
7 févr. 2024 11:21:20 CET,"82,9"
7 févr. 2024 11:21:35 CET,"88,6"
7 févr. 2024 11:21:50 CET,"95,3"
7 févr. 2024 11:22:05 CET,"91,7"
7 févr. 2024 11:22:20 CET,"95,1"
7 févr. 2024 11:22:35 CET,"99,6"
7 févr. 2024 11:23:05 CET,"95,8"
7 févr. 2024 11:23:20 CET,"94,0"
7 févr. 2024 11:23:35 CET,"101,2"
7 févr. 2024 11:23:50 CET,"96,0"
7 févr. 2024 11:24:06 CET,"92,1"
7 févr. 2024 11:24:21 CET,"91,5"
7 févr. 2024 11:24:36 CET,"90,9"
7 févr. 2024 11:24:51 CET,"95,9"
7 févr. 2024 11:25:06 CET,"95,8"
7 févr. 2024 11:25:21 CET,"89,9"
7 févr. 2024 11:25:36 CET,"92,1"
7 févr. 2024 11:25:51 CET,"97,9"
7 févr. 2024 11:26:06 CET,"95,7"
7 févr. 2024 11:26:21 CET,"90,2"
7 févr. 2024 11:26:36 CET,"94,7"
7 févr. 2024 11:26:51 CET,"89,4"
7 févr. 2024 11:27:06 CET,"95,0"
7 févr. 2024 11:27:21 CET,"94,2"
7 févr. 2024 11:27:36 CET,"92,5"
7 févr. 2024 11:27:52 CET,"93,0"
7 févr. 2024 11:28:07 CET,"90,7"
7 févr. 2024 11:28:22 CET,"90,4"
7 févr. 2024 11:28:37 CET,"93,5"
7 févr. 2024 11:28:52 CET,"94,5"
7 févr. 2024 11:29:07 CET,"92,6"
7 févr. 2024 11:29:22 CET,"93,8"
7 févr. 2024 11:29:37 CET,"88,8"
7 févr. 2024 11:29:52 CET,"90,0"
7 févr. 2024 11:30:16 CET,"87,1"
7 févr. 2024 11:30:22 CET,"87,7"
7 févr. 2024 11:30:37 CET,"81,6"
7 févr. 2024 11:30:52 CET,"83,8"
7 févr. 2024 11:31:08 CET,"86,9"
7 févr. 2024 11:31:23 CET,"86,2"
7 févr. 2024 11:31:38 CET,"86,1"
7 févr. 2024 11:31:53 CET,"80,7"
7 févr. 2024 11:32:08 CET,"82,9"
7 févr. 2024 11:32:23 CET,"87,8"
7 févr. 2024 11:32:38 CET,"86,9"
7 févr. 2024 11:32:53 CET,"82,2"
7 févr. 2024 11:33:08 CET,"78,6"
7 févr. 2024 11:33:23 CET,"84,6"
7 févr. 2024 11:33:38 CET,"85,6"
7 févr. 2024 11:33:53 CET,"80,2"
7 févr. 2024 11:34:08 CET,"80,0"
7 févr. 2024 11:34:24 CET,"85,2"
7 févr. 2024 11:34:39 CET,"83,8"
7 févr. 2024 11:34:54 CET,"89,3"
7 févr. 2024 11:35:09 CET,"83,8"
7 févr. 2024 11:35:24 CET,"82,3"
7 févr. 2024 11:35:54 CET,"83,6"
7 févr. 2024 11:36:09 CET,"78,8"
7 févr. 2024 11:36:24 CET,"72,9"
7 févr. 2024 11:36:39 CET,"78,4"
7 févr. 2024 11:36:54 CET,"77,6"
7 févr. 2024 11:37:09 CET,"72,7"
7 févr. 2024 11:37:24 CET,"71,7"
7 févr. 2024 11:37:39 CET,"76,2"
7 févr. 2024 11:37:55 CET,"78,9"
7 févr. 2024 11:38:10 CET,"79,8"
7 févr. 2024 11:38:25 CET,"74,3"
7 févr. 2024 11:38:40 CET,"73,5"
7 févr. 2024 11:38:55 CET,"77,4"
7 févr. 2024 11:39:10 CET,"80,0"
7 févr. 2024 11:39:25 CET,"72,2"
7 févr. 2024 11:39:55 CET,"74,9"
7 févr. 2024 11:40:10 CET,"77,9"
7 févr. 2024 11:40:25 CET,"72,4"
7 févr. 2024 11:40:40 CET,"73,3"
7 févr. 2024 11:40:55 CET,"76,8"
7 févr. 2024 11:41:10 CET,"83,6"
7 févr. 2024 11:41:26 CET,"77,9"
7 févr. 2024 11:41:41 CET,"76,5"
7 févr. 2024 11:41:56 CET,"79,0"
7 févr. 2024 11:42:11 CET,"82,6"
7 févr. 2024 11:42:26 CET,"84,4"
7 févr. 2024 11:42:41 CET,"77,6"
7 févr. 2024 11:42:56 CET,"76,2"
7 févr. 2024 11:43:11 CET,"78,9"
7 févr. 2024 11:43:26 CET,"80,8"
7 févr. 2024 11:43:41 CET,"78,1"
7 févr. 2024 11:43:56 CET,"77,9"
7 févr. 2024 11:44:11 CET,"79,0"
7 févr. 2024 11:44:26 CET,"82,4"
7 févr. 2024 11:44:41 CET,"79,5"
7 févr. 2024 11:44:56 CET,"76,9"
7 févr. 2024 11:45:17 CET,"78,4"
7 févr. 2024 11:45:27 CET,"82,1"
7 févr. 2024 11:45:42 CET,"78,7"
7 févr. 2024 11:45:57 CET,"76,6"
7 févr. 2024 11:46:12 CET,"74,1"
7 févr. 2024 11:46:27 CET,"74,4"
7 févr. 2024 11:46:42 CET,"78,4"
7 févr. 2024 11:46:57 CET,"77,3"
7 févr. 2024 11:47:12 CET,"72,7"
7 févr. 2024 11:47:27 CET,"75,2"
7 févr. 2024 11:47:42 CET,"80,4"
7 févr. 2024 11:47:57 CET,"79,2"
7 févr. 2024 11:48:12 CET,"74,4"
7 févr. 2024 11:48:27 CET,"73,8"
7 févr. 2024 11:48:43 CET,"79,1"
7 févr. 2024 11:48:58 CET,"75,9"
7 févr. 2024 11:49:13 CET,"71,3"
7 févr. 2024 11:49:28 CET,"69,9"
7 févr. 2024 11:49:43 CET,"76,3"
7 févr. 2024 11:49:58 CET,"74,8"
7 févr. 2024 11:50:13 CET,"72,7"
7 févr. 2024 11:50:28 CET,"69,5"
7 févr. 2024 11:50:58 CET,"74,6"
7 févr. 2024 11:51:13 CET,"73,4"
7 févr. 2024 11:51:28 CET,"68,6"
7 févr. 2024 11:51:43 CET,"69,4"
7 févr. 2024 11:51:59 CET,"73,3"
7 févr. 2024 11:52:14 CET,"74,5"
7 févr. 2024 11:52:29 CET,"69,1"
7 févr. 2024 11:52:44 CET,"69,4"
7 févr. 2024 11:52:59 CET,"75,0"
7 févr. 2024 11:53:14 CET,"74,7"
7 févr. 2024 11:53:29 CET,"73,4"
7 févr. 2024 11:53:44 CET,"72,8"
7 févr. 2024 11:53:59 CET,"74,0"
7 févr. 2024 11:54:14 CET,"79,1"
7 févr. 2024 11:54:29 CET,"77,2"
7 févr. 2024 11:54:44 CET,"73,3"
7 févr. 2024 11:54:59 CET,"73,8"
7 févr. 2024 11:55:14 CET,"73,6"
7 févr. 2024 11:55:29 CET,"73,2"
7 févr. 2024 11:55:45 CET,"69,2"
7 févr. 2024 11:56:00 CET,"69,0"
7 févr. 2024 11:56:15 CET,"73,6"
7 févr. 2024 11:56:30 CET,"71,9"
7 févr. 2024 11:56:45 CET,"73,1"
7 févr. 2024 11:57:00 CET,"68,3"
7 févr. 2024 11:57:15 CET,"67,4"
7 févr. 2024 11:57:30 CET,"67,9"
7 févr. 2024 11:57:45 CET,"67,6"
7 févr. 2024 11:58:00 CET,"67,5"
7 févr. 2024 11:58:15 CET,"68,5"
7 févr. 2024 11:58:31 CET,"67,0"
7 févr. 2024 11:58:46 CET,"65,7"
7 févr. 2024 11:59:01 CET,"65,3"
7 févr. 2024 11:59:16 CET,"65,6"
7 févr. 2024 11:59:31 CET,"67,1"
7 févr. 2024 11:59:46 CET,"65,9"
7 févr. 2024 12:00:17 CET,"69,2"
7 févr. 2024 12:00:31 CET,"70,3"
7 févr. 2024 12:00:46 CET,"70,7"
7 févr. 2024 12:01:01 CET,"72,7"
7 févr. 2024 12:01:16 CET,"71,7"
7 févr. 2024 12:01:32 CET,"68,2"
7 févr. 2024 12:02:02 CET,"69,2"
7 févr. 2024 12:02:17 CET,"67,3"
7 févr. 2024 12:02:32 CET,"67,8"
7 févr. 2024 12:03:02 CET,"67,9"
7 févr. 2024 12:03:17 CET,"67,8"
7 févr. 2024 12:03:32 CET,"69,0"
7 févr. 2024 12:03:47 CET,"68,1"
7 févr. 2024 12:04:02 CET,"67,8"
7 févr. 2024 12:04:17 CET,"65,1"
7 févr. 2024 12:04:32 CET,"65,8"
7 févr. 2024 12:04:47 CET,"65,0"
7 févr. 2024 12:05:18 CET,"64,3"
7 févr. 2024 12:05:48 CET,"63,8"
7 févr. 2024 12:06:03 CET,"65,6"
7 févr. 2024 12:06:18 CET,"68,9"
7 févr. 2024 12:06:33 CET,"68,8"
7 févr. 2024 12:06:48 CET,"68,9"
7 févr. 2024 12:07:03 CET,"68,5"
7 févr. 2024 12:07:33 CET,"69,3"
7 févr. 2024 12:07:48 CET,"64,3"
7 févr. 2024 12:08:18 CET,"63,5"
7 févr. 2024 12:08:34 CET,"63,7"
7 févr. 2024 12:08:49 CET,"64,3"
7 févr. 2024 12:09:04 CET,"63,7"
7 févr. 2024 12:09:19 CET,"63,4"
7 févr. 2024 12:09:34 CET,"63,9"
7 févr. 2024 12:09:49 CET,"64,0"
7 févr. 2024 12:10:04 CET,"63,3"
7 févr. 2024 12:10:19 CET,"63,6"
7 févr. 2024 12:10:34 CET,"64,5"
7 févr. 2024 12:10:49 CET,"64,4"
7 févr. 2024 12:11:04 CET,"64,8"
7 févr. 2024 12:11:19 CET,"66,1"
7 févr. 2024 12:11:34 CET,"65,4"
7 févr. 2024 12:11:49 CET,"65,0"
7 févr. 2024 12:12:05 CET,"64,5"
7 févr. 2024 12:12:20 CET,"64,4"
7 févr. 2024 12:12:35 CET,"68,0"
7 févr. 2024 12:12:50 CET,"68,3"
7 févr. 2024 12:13:05 CET,"68,1"
7 févr. 2024 12:13:20 CET,"66,9"
7 févr. 2024 12:13:35 CET,"67,5"
7 févr. 2024 12:13:50 CET,"66,7"
7 févr. 2024 12:14:05 CET,"63,9"
7 févr. 2024 12:14:20 CET,"64,7"
7 févr. 2024 12:14:35 CET,"63,6"
7 févr. 2024 12:14:50 CET,"64,1"
7 févr. 2024 12:15:17 CET,"63,8"
7 févr. 2024 12:15:20 CET,"63,2"
7 févr. 2024 12:15:36 CET,"63,9"
7 févr. 2024 12:15:51 CET,"63,4"
7 févr. 2024 12:16:06 CET,"63,7"
7 févr. 2024 12:16:21 CET,"64,0"
7 févr. 2024 12:16:36 CET,"64,9"
7 févr. 2024 12:16:51 CET,"63,7"
7 févr. 2024 12:17:06 CET,"63,1"
7 févr. 2024 12:17:21 CET,"64,4"
7 févr. 2024 12:17:36 CET,"65,9"
7 févr. 2024 12:17:51 CET,"64,0"
7 févr. 2024 12:18:07 CET,"63,6"
7 févr. 2024 12:18:21 CET,"62,9"
7 févr. 2024 12:18:37 CET,"63,5"
7 févr. 2024 12:18:52 CET,"67,5"
7 févr. 2024 12:19:07 CET,"69,2"
7 févr. 2024 12:19:22 CET,"68,0"
7 févr. 2024 12:19:37 CET,"68,1"
7 févr. 2024 12:19:52 CET,"68,9"
7 févr. 2024 12:20:07 CET,"67,5"
7 févr. 2024 12:20:22 CET,"65,7"
7 févr. 2024 12:20:37 CET,"66,9"
7 févr. 2024 12:20:52 CET,"66,0"
7 févr. 2024 12:21:07 CET,"65,3"
7 févr. 2024 12:21:37 CET,"65,9"
7 févr. 2024 12:21:52 CET,"66,3"
7 févr. 2024 12:22:07 CET,"65,0"
7 févr. 2024 12:22:22 CET,"64,5"
7 févr. 2024 12:22:37 CET,"65,2"
7 févr. 2024 12:22:53 CET,"64,6"
7 févr. 2024 12:23:08 CET,"63,3"
7 févr. 2024 12:23:23 CET,"62,9"
7 févr. 2024 12:23:38 CET,"62,7"
7 févr. 2024 12:23:53 CET,"64,6"
7 févr. 2024 12:24:08 CET,"63,7"
7 févr. 2024 12:24:38 CET,"63,0"
7 févr. 2024 12:24:53 CET,"64,1"
7 févr. 2024 12:25:08 CET,"67,4"
7 févr. 2024 12:25:23 CET,"67,6"
7 févr. 2024 12:25:38 CET,"67,0"
7 févr. 2024 12:25:54 CET,"67,8"
7 févr. 2024 12:26:09 CET,"71,6"
7 févr. 2024 12:26:24 CET,"66,1"
7 févr. 2024 12:26:39 CET,"66,6"
7 févr. 2024 12:26:54 CET,"68,9"
7 févr. 2024 12:27:09 CET,"68,1"
7 févr. 2024 12:27:24 CET,"68,4"
7 févr. 2024 12:27:39 CET,"67,9"
7 févr. 2024 12:27:55 CET,"70,8"
7 févr. 2024 12:28:10 CET,"70,4"
7 févr. 2024 12:28:25 CET,"68,2"
7 févr. 2024 12:28:40 CET,"69,0"
7 févr. 2024 12:28:55 CET,"69,2"
7 févr. 2024 12:29:10 CET,"70,2"
7 févr. 2024 12:29:25 CET,"69,7"
7 févr. 2024 12:29:40 CET,"69,2"
7 févr. 2024 12:29:55 CET,"68,1"
7 févr. 2024 12:30:10 CET,"69,9"
7 févr. 2024 12:30:25 CET,"68,6"
7 févr. 2024 12:30:40 CET,"68,3"
7 févr. 2024 12:30:56 CET,"66,6"
7 févr. 2024 12:31:11 CET,"72,5"
7 févr. 2024 12:31:26 CET,"69,8"
7 févr. 2024 12:31:41 CET,"70,1"
7 févr. 2024 12:31:56 CET,"71,6"
7 févr. 2024 12:32:11 CET,"71,4"
7 févr. 2024 12:32:26 CET,"70,2"
7 févr. 2024 12:32:41 CET,"65,7"
7 févr. 2024 12:32:56 CET,"66,2"
7 févr. 2024 12:33:11 CET,"67,0"
7 févr. 2024 12:33:26 CET,"64,7"
7 févr. 2024 12:33:41 CET,"65,2"
7 févr. 2024 12:33:56 CET,"65,6"
7 févr. 2024 12:34:27 CET,"64,9"
7 févr. 2024 12:34:42 CET,"65,7"
7 févr. 2024 12:34:57 CET,"67,2"
7 févr. 2024 12:35:12 CET,"66,3"
7 févr. 2024 12:35:27 CET,"66,7"
7 févr. 2024 12:35:57 CET,"69,2"
7 févr. 2024 12:36:12 CET,"67,4"
7 févr. 2024 12:36:27 CET,"67,3"
7 févr. 2024 12:36:42 CET,"65,6"
7 févr. 2024 12:36:57 CET,"63,5"
7 févr. 2024 12:37:12 CET,"66,5"
7 févr. 2024 12:37:27 CET,"65,8"
7 févr. 2024 12:37:42 CET,"65,6"
7 févr. 2024 12:37:57 CET,"70,4"
7 févr. 2024 12:38:13 CET,"69,2"
7 févr. 2024 12:38:28 CET,"70,4"
7 févr. 2024 12:38:43 CET,"68,0"
7 févr. 2024 12:38:58 CET,"69,3"
7 févr. 2024 12:39:13 CET,"69,0"
7 févr. 2024 12:39:28 CET,"63,5"
7 févr. 2024 12:39:43 CET,"65,5"
7 févr. 2024 12:39:58 CET,"66,1"
7 févr. 2024 12:40:13 CET,"65,1"
7 févr. 2024 12:40:28 CET,"64,3"
7 févr. 2024 12:40:43 CET,"64,4"
7 févr. 2024 12:40:58 CET,"65,3"
7 févr. 2024 12:41:13 CET,"64,6"
7 févr. 2024 12:41:29 CET,"63,9"
7 févr. 2024 12:41:44 CET,"63,5"
7 févr. 2024 12:41:59 CET,"64,1"
7 févr. 2024 12:42:14 CET,"64,5"
7 févr. 2024 12:42:29 CET,"64,3"
7 févr. 2024 12:42:44 CET,"65,0"
7 févr. 2024 12:42:59 CET,"66,1"
7 févr. 2024 12:43:14 CET,"63,6"
7 févr. 2024 12:43:29 CET,"64,6"
7 févr. 2024 12:43:44 CET,"63,7"
7 févr. 2024 12:43:59 CET,"64,4"
7 févr. 2024 12:44:14 CET,"62,4"
7 févr. 2024 12:44:29 CET,"60,7"
7 févr. 2024 12:44:45 CET,"65,7"
7 févr. 2024 12:45:16 CET,"67,5"
7 févr. 2024 12:45:30 CET,"65,7"
7 févr. 2024 12:45:45 CET,"66,4"
7 févr. 2024 12:46:00 CET,"67,5"
7 févr. 2024 12:46:15 CET,"63,1"
7 févr. 2024 12:46:30 CET,"61,3"
7 févr. 2024 12:46:45 CET,"62,5"
7 févr. 2024 12:47:00 CET,"62,9"
7 févr. 2024 12:47:15 CET,"63,6"
7 févr. 2024 12:47:31 CET,"63,1"
7 févr. 2024 12:47:46 CET,"63,5"
7 févr. 2024 12:48:01 CET,"62,9"
7 févr. 2024 12:48:16 CET,"63,5"
7 févr. 2024 12:48:31 CET,"62,8"
7 févr. 2024 12:48:46 CET,"62,5"
7 févr. 2024 12:49:01 CET,"63,0"
7 févr. 2024 12:49:16 CET,"64,2"
7 févr. 2024 12:49:31 CET,"62,8"
7 févr. 2024 12:49:46 CET,"63,1"
7 févr. 2024 12:50:01 CET,"63,5"
7 févr. 2024 12:50:16 CET,"63,8"
7 févr. 2024 12:50:31 CET,"63,2"
7 févr. 2024 12:50:47 CET,"66,2"
7 févr. 2024 12:51:02 CET,"65,8"
7 févr. 2024 12:51:17 CET,"66,5"
7 févr. 2024 12:51:32 CET,"66,7"
7 févr. 2024 12:51:47 CET,"66,8"
7 févr. 2024 12:52:02 CET,"69,4"
7 févr. 2024 12:52:17 CET,"65,3"
7 févr. 2024 12:52:32 CET,"65,6"
7 févr. 2024 12:52:47 CET,"64,9"
7 févr. 2024 12:53:02 CET,"66,0"
7 févr. 2024 12:53:17 CET,"65,1"
7 févr. 2024 12:53:32 CET,"67,0"
7 févr. 2024 12:53:47 CET,"65,2"
7 févr. 2024 12:54:02 CET,"66,8"
7 févr. 2024 12:54:17 CET,"66,3"
7 févr. 2024 12:54:33 CET,"66,5"
7 févr. 2024 12:54:48 CET,"63,0"
7 févr. 2024 12:55:03 CET,"64,8"
7 févr. 2024 12:55:18 CET,"64,0"
7 févr. 2024 12:55:33 CET,"64,7"
7 févr. 2024 12:55:48 CET,"63,0"
7 févr. 2024 12:56:03 CET,"64,3"
7 févr. 2024 12:56:18 CET,"64,8"
7 févr. 2024 12:56:33 CET,"64,4"
7 févr. 2024 12:56:48 CET,"68,4"
7 févr. 2024 12:57:03 CET,"68,9"
7 févr. 2024 12:57:18 CET,"69,7"
7 févr. 2024 12:57:33 CET,"68,9"
7 févr. 2024 12:57:49 CET,"69,1"
7 févr. 2024 12:58:04 CET,"69,9"
7 févr. 2024 12:58:19 CET,"66,0"
7 févr. 2024 12:58:34 CET,"65,3"
7 févr. 2024 12:58:49 CET,"66,6"
7 févr. 2024 12:59:04 CET,"65,3"
7 févr. 2024 12:59:19 CET,"65,0"
7 févr. 2024 12:59:34 CET,"64,1"
7 févr. 2024 12:59:49 CET,"65,3"
7 févr. 2024 13:00:16 CET,"64,3"
7 févr. 2024 13:00:19 CET,"64,8"
7 févr. 2024 13:00:34 CET,"63,4"
