Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 11:07:15 CET,"71718,1"
7 févr. 2024 11:07:30 CET,"71718,4"
7 févr. 2024 11:07:45 CET,"71718,7"
7 févr. 2024 11:08:00 CET,"71718,9"
7 févr. 2024 11:08:15 CET,"71719,2"
7 févr. 2024 11:08:30 CET,"71719,5"
7 févr. 2024 11:08:45 CET,"71719,7"
7 févr. 2024 11:09:01 CET,"71720,0"
7 févr. 2024 11:09:16 CET,"71720,3"
7 févr. 2024 11:09:31 CET,"71720,5"
7 févr. 2024 11:09:46 CET,"71720,8"
7 févr. 2024 11:10:01 CET,"71721,0"
7 févr. 2024 11:10:16 CET,"71721,3"
7 févr. 2024 11:10:31 CET,"71721,6"
7 févr. 2024 11:10:46 CET,"71721,8"
7 févr. 2024 11:11:01 CET,"71722,1"
7 févr. 2024 11:11:16 CET,"71722,4"
7 févr. 2024 11:11:31 CET,"71722,6"
7 févr. 2024 11:11:46 CET,"71722,9"
7 févr. 2024 11:12:01 CET,"71723,1"
7 févr. 2024 11:12:16 CET,"71723,4"
7 févr. 2024 11:12:31 CET,"71723,6"
7 févr. 2024 11:12:47 CET,"71723,9"
7 févr. 2024 11:13:02 CET,"71724,2"
7 févr. 2024 11:13:17 CET,"71724,4"
7 févr. 2024 11:13:32 CET,"71724,7"
7 févr. 2024 11:13:47 CET,"71724,9"
7 févr. 2024 11:14:02 CET,"71725,1"
7 févr. 2024 11:14:17 CET,"71725,4"
7 févr. 2024 11:14:32 CET,"71725,7"
7 févr. 2024 11:14:47 CET,"71725,9"
7 févr. 2024 11:15:15 CET,"71726,2"
7 févr. 2024 11:15:17 CET,"71726,4"
7 févr. 2024 11:15:32 CET,"71726,7"
7 févr. 2024 11:15:47 CET,"71727,0"
7 févr. 2024 11:16:03 CET,"71727,2"
7 févr. 2024 11:16:18 CET,"71727,5"
7 févr. 2024 11:16:33 CET,"71727,8"
7 févr. 2024 11:16:48 CET,"71728,0"
7 févr. 2024 11:17:03 CET,"71728,3"
7 févr. 2024 11:17:18 CET,"71728,6"
7 févr. 2024 11:17:33 CET,"71728,8"
7 févr. 2024 11:17:48 CET,"71729,1"
7 févr. 2024 11:18:03 CET,"71729,4"
7 févr. 2024 11:18:18 CET,"71729,6"
7 févr. 2024 11:18:33 CET,"71729,9"
7 févr. 2024 11:18:48 CET,"71730,1"
7 févr. 2024 11:19:03 CET,"71730,4"
7 févr. 2024 11:19:19 CET,"71730,6"
7 févr. 2024 11:19:34 CET,"71730,9"
7 févr. 2024 11:19:49 CET,"71731,2"
7 févr. 2024 11:20:04 CET,"71731,4"
7 févr. 2024 11:20:19 CET,"71731,7"
7 févr. 2024 11:20:34 CET,"71731,9"
7 févr. 2024 11:20:49 CET,"71732,1"
7 févr. 2024 11:21:04 CET,"71732,4"
7 févr. 2024 11:21:19 CET,"71732,6"
7 févr. 2024 11:21:34 CET,"71732,9"
7 févr. 2024 11:21:49 CET,"71733,1"
7 févr. 2024 11:22:04 CET,"71733,4"
7 févr. 2024 11:22:19 CET,"71733,6"
7 févr. 2024 11:22:34 CET,"71733,9"
7 févr. 2024 11:22:50 CET,"71734,2"
7 févr. 2024 11:23:05 CET,"71734,5"
7 févr. 2024 11:23:20 CET,"71734,7"
7 févr. 2024 11:23:35 CET,"71735,0"
7 févr. 2024 11:23:50 CET,"71735,3"
7 févr. 2024 11:24:05 CET,"71735,5"
7 févr. 2024 11:24:20 CET,"71735,8"
7 févr. 2024 11:24:35 CET,"71736,1"
7 févr. 2024 11:24:50 CET,"71736,3"
7 févr. 2024 11:25:05 CET,"71736,6"
7 févr. 2024 11:25:20 CET,"71736,9"
7 févr. 2024 11:25:35 CET,"71737,1"
7 févr. 2024 11:25:50 CET,"71737,4"
7 févr. 2024 11:26:05 CET,"71737,7"
7 févr. 2024 11:26:20 CET,"71737,9"
7 févr. 2024 11:26:36 CET,"71738,2"
7 févr. 2024 11:26:51 CET,"71738,5"
7 févr. 2024 11:27:06 CET,"71738,7"
7 févr. 2024 11:27:21 CET,"71739,0"
7 févr. 2024 11:27:36 CET,"71739,2"
7 févr. 2024 11:27:51 CET,"71739,5"
7 févr. 2024 11:28:06 CET,"71739,8"
7 févr. 2024 11:28:21 CET,"71740,0"
7 févr. 2024 11:28:36 CET,"71740,3"
7 févr. 2024 11:28:51 CET,"71740,5"
7 févr. 2024 11:29:06 CET,"71740,8"
7 févr. 2024 11:29:21 CET,"71741,1"
7 févr. 2024 11:29:36 CET,"71741,3"
7 févr. 2024 11:29:51 CET,"71741,6"
7 févr. 2024 11:30:16 CET,"71741,8"
7 févr. 2024 11:30:22 CET,"71742,1"
7 févr. 2024 11:30:37 CET,"71742,3"
7 févr. 2024 11:30:52 CET,"71742,6"
7 févr. 2024 11:31:07 CET,"71742,8"
7 févr. 2024 11:31:22 CET,"71743,0"
7 févr. 2024 11:31:37 CET,"71743,3"
7 févr. 2024 11:31:52 CET,"71743,5"
7 févr. 2024 11:32:07 CET,"71743,7"
7 févr. 2024 11:32:22 CET,"71744,0"
7 févr. 2024 11:32:37 CET,"71744,2"
7 févr. 2024 11:32:52 CET,"71744,4"
7 févr. 2024 11:33:08 CET,"71744,7"
7 févr. 2024 11:33:23 CET,"71744,9"
7 févr. 2024 11:33:38 CET,"71745,1"
7 févr. 2024 11:33:53 CET,"71745,4"
7 févr. 2024 11:34:08 CET,"71745,6"
7 févr. 2024 11:34:23 CET,"71745,9"
7 févr. 2024 11:34:38 CET,"71746,1"
7 févr. 2024 11:34:53 CET,"71746,3"
7 févr. 2024 11:35:08 CET,"71746,6"
7 févr. 2024 11:35:23 CET,"71746,8"
7 févr. 2024 11:35:38 CET,"71747,0"
7 févr. 2024 11:35:53 CET,"71747,3"
7 févr. 2024 11:36:08 CET,"71747,5"
7 févr. 2024 11:36:24 CET,"71747,7"
7 févr. 2024 11:36:39 CET,"71748,0"
7 févr. 2024 11:36:54 CET,"71748,2"
7 févr. 2024 11:37:09 CET,"71748,4"
7 févr. 2024 11:37:24 CET,"71748,6"
7 févr. 2024 11:37:39 CET,"71748,8"
7 févr. 2024 11:37:54 CET,"71749,0"
7 févr. 2024 11:38:09 CET,"71749,3"
7 févr. 2024 11:38:24 CET,"71749,5"
7 févr. 2024 11:38:39 CET,"71749,7"
7 févr. 2024 11:38:54 CET,"71749,9"
7 févr. 2024 11:39:09 CET,"71750,1"
7 févr. 2024 11:39:24 CET,"71750,3"
7 févr. 2024 11:39:39 CET,"71750,6"
7 févr. 2024 11:39:55 CET,"71750,8"
7 févr. 2024 11:40:10 CET,"71751,0"
7 févr. 2024 11:40:25 CET,"71751,2"
7 févr. 2024 11:40:40 CET,"71751,4"
7 févr. 2024 11:40:55 CET,"71751,6"
7 févr. 2024 11:41:10 CET,"71751,9"
7 févr. 2024 11:41:25 CET,"71752,1"
7 févr. 2024 11:41:40 CET,"71752,3"
7 févr. 2024 11:41:55 CET,"71752,5"
7 févr. 2024 11:42:10 CET,"71752,8"
7 févr. 2024 11:42:25 CET,"71753,0"
7 févr. 2024 11:42:40 CET,"71753,2"
7 févr. 2024 11:42:55 CET,"71753,4"
7 févr. 2024 11:43:10 CET,"71753,6"
7 févr. 2024 11:43:25 CET,"71753,9"
7 févr. 2024 11:43:41 CET,"71754,1"
7 févr. 2024 11:43:56 CET,"71754,3"
7 févr. 2024 11:44:11 CET,"71754,5"
7 févr. 2024 11:44:26 CET,"71754,7"
7 févr. 2024 11:44:41 CET,"71755,0"
7 févr. 2024 11:44:56 CET,"71755,2"
7 févr. 2024 11:45:17 CET,"71755,4"
7 févr. 2024 11:45:26 CET,"71755,6"
7 févr. 2024 11:45:41 CET,"71755,9"
7 févr. 2024 11:45:56 CET,"71756,1"
7 févr. 2024 11:46:11 CET,"71756,3"
7 févr. 2024 11:46:26 CET,"71756,5"
7 févr. 2024 11:46:41 CET,"71756,7"
7 févr. 2024 11:46:56 CET,"71756,9"
7 févr. 2024 11:47:12 CET,"71757,1"
7 févr. 2024 11:47:27 CET,"71757,4"
7 févr. 2024 11:47:42 CET,"71757,6"
7 févr. 2024 11:47:57 CET,"71757,8"
7 févr. 2024 11:48:12 CET,"71758,0"
7 févr. 2024 11:48:27 CET,"71758,2"
7 févr. 2024 11:48:42 CET,"71758,4"
7 févr. 2024 11:48:57 CET,"71758,7"
7 févr. 2024 11:49:12 CET,"71758,9"
7 févr. 2024 11:49:27 CET,"71759,1"
7 févr. 2024 11:49:42 CET,"71759,3"
7 févr. 2024 11:49:57 CET,"71759,5"
7 févr. 2024 11:50:12 CET,"71759,7"
7 févr. 2024 11:50:27 CET,"71759,9"
7 févr. 2024 11:50:43 CET,"71760,1"
7 févr. 2024 11:50:58 CET,"71760,3"
7 févr. 2024 11:51:13 CET,"71760,5"
7 févr. 2024 11:51:28 CET,"71760,7"
7 févr. 2024 11:51:43 CET,"71760,9"
7 févr. 2024 11:51:58 CET,"71761,1"
7 févr. 2024 11:52:13 CET,"71761,3"
7 févr. 2024 11:52:28 CET,"71761,5"
7 févr. 2024 11:52:43 CET,"71761,7"
7 févr. 2024 11:52:58 CET,"71761,9"
7 févr. 2024 11:53:13 CET,"71762,1"
7 févr. 2024 11:53:28 CET,"71762,3"
7 févr. 2024 11:53:43 CET,"71762,5"
7 févr. 2024 11:53:58 CET,"71762,7"
7 févr. 2024 11:54:13 CET,"71762,9"
7 févr. 2024 11:54:29 CET,"71763,1"
7 févr. 2024 11:54:44 CET,"71763,3"
7 févr. 2024 11:54:59 CET,"71763,6"
7 févr. 2024 11:55:14 CET,"71763,8"
7 févr. 2024 11:55:29 CET,"71764,0"
7 févr. 2024 11:55:44 CET,"71764,2"
7 févr. 2024 11:55:59 CET,"71764,4"
7 févr. 2024 11:56:14 CET,"71764,6"
7 févr. 2024 11:56:29 CET,"71764,8"
7 févr. 2024 11:56:44 CET,"71765,0"
7 févr. 2024 11:56:59 CET,"71765,1"
7 févr. 2024 11:57:14 CET,"71765,3"
7 févr. 2024 11:57:30 CET,"71765,5"
7 févr. 2024 11:57:45 CET,"71765,7"
7 févr. 2024 11:58:00 CET,"71765,9"
7 févr. 2024 11:58:15 CET,"71766,1"
7 févr. 2024 11:58:30 CET,"71766,3"
7 févr. 2024 11:58:45 CET,"71766,5"
7 févr. 2024 11:59:00 CET,"71766,6"
7 févr. 2024 11:59:15 CET,"71766,8"
7 févr. 2024 11:59:30 CET,"71767,0"
7 févr. 2024 11:59:45 CET,"71767,2"
7 févr. 2024 12:00:17 CET,"71767,6"
7 févr. 2024 12:00:31 CET,"71767,8"
7 févr. 2024 12:00:46 CET,"71768,0"
7 févr. 2024 12:01:01 CET,"71768,2"
7 févr. 2024 12:01:16 CET,"71768,4"
7 févr. 2024 12:01:31 CET,"71768,6"
7 févr. 2024 12:01:46 CET,"71768,8"
7 févr. 2024 12:02:01 CET,"71768,9"
7 févr. 2024 12:02:16 CET,"71769,1"
7 févr. 2024 12:02:31 CET,"71769,3"
7 févr. 2024 12:02:46 CET,"71769,5"
7 févr. 2024 12:03:01 CET,"71769,7"
7 févr. 2024 12:03:16 CET,"71769,9"
7 févr. 2024 12:03:32 CET,"71770,1"
7 févr. 2024 12:03:47 CET,"71770,3"
7 févr. 2024 12:04:02 CET,"71770,5"
7 févr. 2024 12:04:17 CET,"71770,6"
7 févr. 2024 12:04:32 CET,"71770,8"
7 févr. 2024 12:04:47 CET,"71771,0"
7 févr. 2024 12:05:02 CET,"71771,2"
7 févr. 2024 12:05:17 CET,"71771,4"
7 févr. 2024 12:05:32 CET,"71771,6"
7 févr. 2024 12:05:47 CET,"71771,7"
7 févr. 2024 12:06:02 CET,"71771,9"
7 févr. 2024 12:06:17 CET,"71772,1"
7 févr. 2024 12:06:32 CET,"71772,3"
7 févr. 2024 12:06:47 CET,"71772,5"
7 févr. 2024 12:07:02 CET,"71772,7"
7 févr. 2024 12:07:18 CET,"71772,9"
7 févr. 2024 12:07:33 CET,"71773,1"
7 févr. 2024 12:07:48 CET,"71773,2"
7 févr. 2024 12:08:03 CET,"71773,4"
7 févr. 2024 12:08:18 CET,"71773,6"
7 févr. 2024 12:08:33 CET,"71773,8"
7 févr. 2024 12:08:48 CET,"71774,0"
7 févr. 2024 12:09:03 CET,"71774,1"
7 févr. 2024 12:09:18 CET,"71774,3"
7 févr. 2024 12:09:33 CET,"71774,5"
7 févr. 2024 12:09:48 CET,"71774,7"
7 févr. 2024 12:10:03 CET,"71774,9"
7 févr. 2024 12:10:18 CET,"71775,0"
7 févr. 2024 12:10:33 CET,"71775,2"
7 févr. 2024 12:10:49 CET,"71775,4"
7 févr. 2024 12:11:04 CET,"71775,6"
7 févr. 2024 12:11:19 CET,"71775,7"
7 févr. 2024 12:11:34 CET,"71775,9"
7 févr. 2024 12:11:49 CET,"71776,1"
7 févr. 2024 12:12:04 CET,"71776,3"
7 févr. 2024 12:12:19 CET,"71776,5"
7 févr. 2024 12:12:34 CET,"71776,7"
7 févr. 2024 12:12:49 CET,"71776,8"
7 févr. 2024 12:13:04 CET,"71777,0"
7 févr. 2024 12:13:19 CET,"71777,2"
7 févr. 2024 12:13:34 CET,"71777,4"
7 févr. 2024 12:13:49 CET,"71777,6"
7 févr. 2024 12:14:04 CET,"71777,8"
7 févr. 2024 12:14:19 CET,"71777,9"
7 févr. 2024 12:14:35 CET,"71778,1"
7 févr. 2024 12:14:50 CET,"71778,3"
7 févr. 2024 12:15:17 CET,"71778,5"
7 févr. 2024 12:15:20 CET,"71778,7"
7 févr. 2024 12:15:35 CET,"71778,8"
7 févr. 2024 12:15:50 CET,"71779,0"
7 févr. 2024 12:16:05 CET,"71779,2"
7 févr. 2024 12:16:20 CET,"71779,4"
7 févr. 2024 12:16:35 CET,"71779,5"
7 févr. 2024 12:16:50 CET,"71779,7"
7 févr. 2024 12:17:05 CET,"71779,9"
7 févr. 2024 12:17:20 CET,"71780,1"
7 févr. 2024 12:17:36 CET,"71780,3"
7 févr. 2024 12:17:51 CET,"71780,4"
7 févr. 2024 12:18:06 CET,"71780,6"
7 févr. 2024 12:18:21 CET,"71780,8"
7 févr. 2024 12:18:36 CET,"71781,0"
7 févr. 2024 12:18:51 CET,"71781,2"
7 févr. 2024 12:19:06 CET,"71781,3"
7 févr. 2024 12:19:21 CET,"71781,5"
7 févr. 2024 12:19:36 CET,"71781,7"
7 févr. 2024 12:19:51 CET,"71781,9"
7 févr. 2024 12:20:06 CET,"71782,1"
7 févr. 2024 12:20:21 CET,"71782,3"
7 févr. 2024 12:20:36 CET,"71782,5"
7 févr. 2024 12:20:51 CET,"71782,7"
7 févr. 2024 12:21:07 CET,"71782,8"
7 févr. 2024 12:21:22 CET,"71783,0"
7 févr. 2024 12:21:37 CET,"71783,2"
7 févr. 2024 12:21:52 CET,"71783,4"
7 févr. 2024 12:22:07 CET,"71783,6"
7 févr. 2024 12:22:22 CET,"71783,8"
7 févr. 2024 12:22:37 CET,"71783,9"
7 févr. 2024 12:22:52 CET,"71784,1"
7 févr. 2024 12:23:07 CET,"71784,3"
7 févr. 2024 12:23:22 CET,"71784,5"
7 févr. 2024 12:23:37 CET,"71784,6"
7 févr. 2024 12:23:52 CET,"71784,8"
7 févr. 2024 12:24:07 CET,"71785,0"
7 févr. 2024 12:24:22 CET,"71785,2"
7 févr. 2024 12:24:37 CET,"71785,3"
7 févr. 2024 12:24:52 CET,"71785,5"
7 févr. 2024 12:25:08 CET,"71785,7"
7 févr. 2024 12:25:23 CET,"71785,9"
7 févr. 2024 12:25:38 CET,"71786,1"
7 févr. 2024 12:25:53 CET,"71786,3"
7 févr. 2024 12:26:08 CET,"71786,5"
7 févr. 2024 12:26:23 CET,"71786,7"
7 févr. 2024 12:26:38 CET,"71786,8"
7 févr. 2024 12:26:54 CET,"71787,0"
7 févr. 2024 12:27:09 CET,"71787,2"
7 févr. 2024 12:27:24 CET,"71787,4"
7 févr. 2024 12:27:39 CET,"71787,6"
7 févr. 2024 12:27:54 CET,"71787,8"
7 févr. 2024 12:28:09 CET,"71788,0"
7 févr. 2024 12:28:24 CET,"71788,2"
7 févr. 2024 12:28:39 CET,"71788,4"
7 févr. 2024 12:28:54 CET,"71788,6"
7 févr. 2024 12:29:09 CET,"71788,8"
7 févr. 2024 12:29:24 CET,"71789,0"
7 févr. 2024 12:29:40 CET,"71789,1"
7 févr. 2024 12:29:55 CET,"71789,3"
7 févr. 2024 12:30:10 CET,"71789,5"
7 févr. 2024 12:30:25 CET,"71789,7"
7 févr. 2024 12:30:40 CET,"71789,9"
7 févr. 2024 12:30:55 CET,"71790,1"
7 févr. 2024 12:31:10 CET,"71790,3"
7 févr. 2024 12:31:25 CET,"71790,5"
7 févr. 2024 12:31:40 CET,"71790,7"
7 févr. 2024 12:31:55 CET,"71790,9"
7 févr. 2024 12:32:10 CET,"71791,1"
7 févr. 2024 12:32:25 CET,"71791,3"
7 févr. 2024 12:32:40 CET,"71791,5"
7 févr. 2024 12:32:55 CET,"71791,6"
7 févr. 2024 12:33:11 CET,"71791,8"
7 févr. 2024 12:33:26 CET,"71792,0"
7 févr. 2024 12:33:41 CET,"71792,2"
7 févr. 2024 12:33:56 CET,"71792,4"
7 févr. 2024 12:34:11 CET,"71792,6"
7 févr. 2024 12:34:26 CET,"71792,7"
7 févr. 2024 12:34:41 CET,"71792,9"
7 févr. 2024 12:34:56 CET,"71793,1"
7 févr. 2024 12:35:11 CET,"71793,3"
7 févr. 2024 12:35:26 CET,"71793,5"
7 févr. 2024 12:35:41 CET,"71793,6"
7 févr. 2024 12:35:56 CET,"71793,8"
7 févr. 2024 12:36:11 CET,"71794,0"
7 févr. 2024 12:36:26 CET,"71794,2"
7 févr. 2024 12:36:42 CET,"71794,4"
7 févr. 2024 12:36:57 CET,"71794,6"
7 févr. 2024 12:37:12 CET,"71794,8"
7 févr. 2024 12:37:27 CET,"71795,0"
7 févr. 2024 12:37:42 CET,"71795,1"
7 févr. 2024 12:37:57 CET,"71795,3"
7 févr. 2024 12:38:12 CET,"71795,5"
7 févr. 2024 12:38:27 CET,"71795,7"
7 févr. 2024 12:38:42 CET,"71795,9"
7 févr. 2024 12:38:57 CET,"71796,1"
7 févr. 2024 12:39:12 CET,"71796,3"
7 févr. 2024 12:39:27 CET,"71796,5"
7 févr. 2024 12:39:42 CET,"71796,7"
7 févr. 2024 12:39:57 CET,"71796,8"
7 févr. 2024 12:40:13 CET,"71797,0"
7 févr. 2024 12:40:28 CET,"71797,2"
7 févr. 2024 12:40:43 CET,"71797,4"
7 févr. 2024 12:40:58 CET,"71797,6"
7 févr. 2024 12:41:13 CET,"71797,8"
7 févr. 2024 12:41:28 CET,"71797,9"
7 févr. 2024 12:41:43 CET,"71798,1"
7 févr. 2024 12:41:58 CET,"71798,3"
7 févr. 2024 12:42:13 CET,"71798,5"
7 févr. 2024 12:42:28 CET,"71798,6"
7 févr. 2024 12:42:43 CET,"71798,8"
7 févr. 2024 12:42:58 CET,"71799,0"
7 févr. 2024 12:43:13 CET,"71799,2"
7 févr. 2024 12:43:29 CET,"71799,4"
7 févr. 2024 12:43:44 CET,"71799,5"
7 févr. 2024 12:43:59 CET,"71799,7"
7 févr. 2024 12:44:14 CET,"71799,9"
7 févr. 2024 12:44:29 CET,"71800,1"
7 févr. 2024 12:44:44 CET,"71800,2"
7 févr. 2024 12:44:59 CET,"71800,4"
7 févr. 2024 12:45:16 CET,"71800,6"
7 févr. 2024 12:45:29 CET,"71800,8"
7 févr. 2024 12:45:44 CET,"71801,0"
7 févr. 2024 12:45:59 CET,"71801,2"
7 févr. 2024 12:46:14 CET,"71801,3"
7 févr. 2024 12:46:30 CET,"71801,5"
7 févr. 2024 12:46:45 CET,"71801,7"
7 févr. 2024 12:47:00 CET,"71801,9"
7 févr. 2024 12:47:15 CET,"71802,0"
7 févr. 2024 12:47:30 CET,"71802,2"
7 févr. 2024 12:47:45 CET,"71802,4"
7 févr. 2024 12:48:00 CET,"71802,6"
7 févr. 2024 12:48:15 CET,"71802,8"
7 févr. 2024 12:48:30 CET,"71802,9"
7 févr. 2024 12:48:45 CET,"71803,1"
7 févr. 2024 12:49:00 CET,"71803,3"
7 févr. 2024 12:49:15 CET,"71803,5"
7 févr. 2024 12:49:31 CET,"71803,6"
7 févr. 2024 12:49:46 CET,"71803,8"
7 févr. 2024 12:50:01 CET,"71804,0"
7 févr. 2024 12:50:16 CET,"71804,2"
7 févr. 2024 12:50:31 CET,"71804,3"
7 févr. 2024 12:50:46 CET,"71804,5"
7 févr. 2024 12:51:01 CET,"71804,7"
7 févr. 2024 12:51:16 CET,"71804,9"
7 févr. 2024 12:51:31 CET,"71805,1"
7 févr. 2024 12:51:46 CET,"71805,3"
7 févr. 2024 12:52:01 CET,"71805,5"
7 févr. 2024 12:52:16 CET,"71805,6"
7 févr. 2024 12:52:31 CET,"71805,8"
7 févr. 2024 12:52:46 CET,"71806,0"
7 févr. 2024 12:53:02 CET,"71806,2"
7 févr. 2024 12:53:17 CET,"71806,4"
7 févr. 2024 12:53:32 CET,"71806,6"
7 févr. 2024 12:53:47 CET,"71806,7"
7 févr. 2024 12:54:02 CET,"71806,9"
7 févr. 2024 12:54:17 CET,"71807,1"
7 févr. 2024 12:54:32 CET,"71807,3"
7 févr. 2024 12:54:47 CET,"71807,5"
7 févr. 2024 12:55:02 CET,"71807,7"
7 févr. 2024 12:55:17 CET,"71807,9"
7 févr. 2024 12:55:32 CET,"71808,0"
7 févr. 2024 12:55:47 CET,"71808,2"
7 févr. 2024 12:56:02 CET,"71808,4"
7 févr. 2024 12:56:17 CET,"71808,6"
7 févr. 2024 12:56:32 CET,"71808,8"
7 févr. 2024 12:56:48 CET,"71808,9"
7 févr. 2024 12:57:03 CET,"71809,1"
7 févr. 2024 12:57:18 CET,"71809,3"
7 févr. 2024 12:57:33 CET,"71809,5"
7 févr. 2024 12:57:48 CET,"71809,7"
7 févr. 2024 12:58:03 CET,"71809,9"
7 févr. 2024 12:58:18 CET,"71810,1"
7 févr. 2024 12:58:33 CET,"71810,3"
7 févr. 2024 12:58:48 CET,"71810,5"
7 févr. 2024 12:59:03 CET,"71810,6"
7 févr. 2024 12:59:18 CET,"71810,8"
7 févr. 2024 12:59:33 CET,"71811,0"
7 févr. 2024 12:59:48 CET,"71811,2"
7 févr. 2024 13:00:16 CET,"71811,4"
7 févr. 2024 13:00:19 CET,"71811,6"
7 févr. 2024 13:00:34 CET,"71811,7"
7 févr. 2024 13:00:49 CET,"71811,9"
7 févr. 2024 13:01:04 CET,"71812,1"
7 févr. 2024 13:01:19 CET,"71812,3"
