Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 09:21:28 CET,"71618,9"
7 févr. 2024 09:21:43 CET,"71619,1"
7 févr. 2024 09:21:58 CET,"71619,3"
7 févr. 2024 09:22:13 CET,"71619,5"
7 févr. 2024 09:22:29 CET,"71619,7"
7 févr. 2024 09:22:44 CET,"71620,0"
7 févr. 2024 09:22:59 CET,"71620,2"
7 févr. 2024 09:23:14 CET,"71620,4"
7 févr. 2024 09:23:29 CET,"71620,6"
7 févr. 2024 09:23:44 CET,"71620,8"
7 févr. 2024 09:23:59 CET,"71621,1"
7 févr. 2024 09:24:14 CET,"71621,3"
7 févr. 2024 09:24:29 CET,"71621,5"
7 févr. 2024 09:24:44 CET,"71621,7"
7 févr. 2024 09:24:59 CET,"71622,0"
7 févr. 2024 09:25:14 CET,"71622,2"
7 févr. 2024 09:25:29 CET,"71622,4"
7 févr. 2024 09:25:44 CET,"71622,7"
7 févr. 2024 09:26:00 CET,"71622,9"
7 févr. 2024 09:26:15 CET,"71623,1"
7 févr. 2024 09:26:30 CET,"71623,4"
7 févr. 2024 09:26:45 CET,"71623,6"
7 févr. 2024 09:27:00 CET,"71623,8"
7 févr. 2024 09:27:15 CET,"71624,0"
7 févr. 2024 09:27:30 CET,"71624,2"
7 févr. 2024 09:27:45 CET,"71624,4"
7 févr. 2024 09:28:00 CET,"71624,6"
7 févr. 2024 09:28:15 CET,"71624,8"
7 févr. 2024 09:28:30 CET,"71625,0"
7 févr. 2024 09:28:45 CET,"71625,3"
7 févr. 2024 09:29:00 CET,"71625,5"
7 févr. 2024 09:29:15 CET,"71625,7"
7 févr. 2024 09:29:31 CET,"71625,9"
7 févr. 2024 09:29:46 CET,"71626,1"
7 févr. 2024 09:30:16 CET,"71626,5"
7 févr. 2024 09:30:31 CET,"71626,7"
7 févr. 2024 09:30:46 CET,"71626,9"
7 févr. 2024 09:31:01 CET,"71627,1"
7 févr. 2024 09:31:16 CET,"71627,3"
7 févr. 2024 09:31:31 CET,"71627,6"
7 févr. 2024 09:31:46 CET,"71627,8"
7 févr. 2024 09:32:01 CET,"71628,1"
7 févr. 2024 09:32:16 CET,"71628,3"
7 févr. 2024 09:32:32 CET,"71628,5"
7 févr. 2024 09:32:47 CET,"71628,8"
7 févr. 2024 09:33:02 CET,"71629,0"
7 févr. 2024 09:33:17 CET,"71629,3"
7 févr. 2024 09:33:32 CET,"71629,5"
7 févr. 2024 09:33:47 CET,"71629,7"
7 févr. 2024 09:34:02 CET,"71630,0"
7 févr. 2024 09:34:17 CET,"71630,2"
7 févr. 2024 09:34:32 CET,"71630,4"
7 févr. 2024 09:34:47 CET,"71630,7"
7 févr. 2024 09:35:02 CET,"71630,9"
7 févr. 2024 09:35:17 CET,"71631,1"
7 févr. 2024 09:35:32 CET,"71631,4"
7 févr. 2024 09:35:47 CET,"71631,6"
7 févr. 2024 09:36:02 CET,"71631,9"
7 févr. 2024 09:36:18 CET,"71632,1"
7 févr. 2024 09:36:33 CET,"71632,3"
7 févr. 2024 09:36:48 CET,"71632,6"
7 févr. 2024 09:37:03 CET,"71632,8"
