Timestamp,ENSEM_ENSAIA/Centrale mesure générale-puissance active totale (kW)
7 févr. 2024 09:07:10 CET,"54,1"
7 févr. 2024 09:07:25 CET,"53,3"
7 févr. 2024 09:07:56 CET,"54,0"
7 févr. 2024 09:08:11 CET,"54,3"
7 févr. 2024 09:08:26 CET,"54,2"
7 févr. 2024 09:08:41 CET,"53,6"
7 févr. 2024 09:08:56 CET,"53,4"
7 févr. 2024 09:09:11 CET,"54,2"
7 févr. 2024 09:09:26 CET,"55,2"
7 févr. 2024 09:09:41 CET,"54,0"
7 févr. 2024 09:10:11 CET,"53,9"
7 févr. 2024 09:10:26 CET,"53,7"
7 févr. 2024 09:10:41 CET,"54,1"
7 févr. 2024 09:11:11 CET,"54,5"
7 févr. 2024 09:11:26 CET,"56,5"
7 févr. 2024 09:11:42 CET,"57,1"
7 févr. 2024 09:11:57 CET,"57,3"
7 févr. 2024 09:12:12 CET,"57,6"
7 févr. 2024 09:12:42 CET,"56,6"
7 févr. 2024 09:12:57 CET,"53,8"
7 févr. 2024 09:13:12 CET,"54,8"
7 févr. 2024 09:13:27 CET,"52,8"
7 févr. 2024 09:13:42 CET,"53,0"
7 févr. 2024 09:13:57 CET,"46,8"
7 févr. 2024 09:14:12 CET,"47,4"
7 févr. 2024 09:14:27 CET,"50,3"
7 févr. 2024 09:14:42 CET,"50,0"
7 févr. 2024 09:14:57 CET,"49,6"
7 févr. 2024 09:15:15 CET,"49,8"
7 févr. 2024 09:15:28 CET,"50,1"
7 févr. 2024 09:15:43 CET,"50,5"
7 févr. 2024 09:15:58 CET,"50,2"
7 févr. 2024 09:16:13 CET,"50,6"
7 févr. 2024 09:16:28 CET,"50,2"
7 févr. 2024 09:16:43 CET,"50,5"
7 févr. 2024 09:16:58 CET,"50,4"
7 févr. 2024 09:17:13 CET,"50,9"
7 févr. 2024 09:17:28 CET,"50,6"
7 févr. 2024 09:17:43 CET,"50,3"
7 févr. 2024 09:17:58 CET,"50,1"
7 févr. 2024 09:18:14 CET,"54,1"
7 févr. 2024 09:18:29 CET,"53,1"
7 févr. 2024 09:18:44 CET,"52,6"
7 févr. 2024 09:18:59 CET,"52,5"
7 févr. 2024 09:19:14 CET,"53,0"
7 févr. 2024 09:19:29 CET,"53,3"
7 févr. 2024 09:19:44 CET,"50,5"
7 févr. 2024 09:19:59 CET,"49,8"
7 févr. 2024 09:20:14 CET,"49,4"
7 févr. 2024 09:20:44 CET,"49,5"
7 févr. 2024 09:20:59 CET,"49,3"
7 févr. 2024 09:21:14 CET,"50,5"
7 févr. 2024 09:21:30 CET,"49,9"
7 févr. 2024 09:21:45 CET,"50,9"
7 févr. 2024 09:22:15 CET,"52,7"
7 févr. 2024 09:22:30 CET,"52,6"
7 févr. 2024 09:22:45 CET,"52,2"
7 févr. 2024 09:23:00 CET,"52,0"
7 févr. 2024 09:23:15 CET,"53,1"
7 févr. 2024 09:23:30 CET,"53,4"
7 févr. 2024 09:23:45 CET,"52,7"
7 févr. 2024 09:24:00 CET,"52,9"
7 févr. 2024 09:24:15 CET,"54,3"
7 févr. 2024 09:24:30 CET,"53,6"
7 févr. 2024 09:24:45 CET,"55,9"
7 févr. 2024 09:25:01 CET,"56,0"
7 févr. 2024 09:25:16 CET,"56,6"
7 févr. 2024 09:25:31 CET,"57,2"
7 févr. 2024 09:25:46 CET,"57,3"
7 févr. 2024 09:26:01 CET,"56,3"
7 févr. 2024 09:26:16 CET,"53,4"
7 févr. 2024 09:26:31 CET,"52,6"
7 févr. 2024 09:26:46 CET,"52,9"
7 févr. 2024 09:27:01 CET,"51,1"
7 févr. 2024 09:27:16 CET,"51,7"
7 févr. 2024 09:27:31 CET,"51,8"
7 févr. 2024 09:27:46 CET,"48,8"
7 févr. 2024 09:28:01 CET,"48,6"
7 févr. 2024 09:28:16 CET,"49,4"
7 févr. 2024 09:28:32 CET,"49,2"
7 févr. 2024 09:28:47 CET,"48,7"
7 févr. 2024 09:29:02 CET,"48,9"
7 févr. 2024 09:29:17 CET,"48,3"
7 févr. 2024 09:29:32 CET,"48,8"
7 févr. 2024 09:29:47 CET,"48,4"
7 févr. 2024 09:30:17 CET,"53,8"
7 févr. 2024 09:30:17 CET,"50,7"
7 févr. 2024 09:30:32 CET,"49,5"
7 févr. 2024 09:30:47 CET,"50,1"
7 févr. 2024 09:31:02 CET,"51,7"
7 févr. 2024 09:31:17 CET,"53,5"
7 févr. 2024 09:31:32 CET,"58,4"
7 févr. 2024 09:31:48 CET,"59,1"
7 févr. 2024 09:32:03 CET,"58,5"
7 févr. 2024 09:32:18 CET,"58,7"
7 févr. 2024 09:32:48 CET,"57,6"
7 févr. 2024 09:33:03 CET,"56,4"
7 févr. 2024 09:33:18 CET,"58,3"
7 févr. 2024 09:33:33 CET,"57,3"
7 févr. 2024 09:33:48 CET,"55,0"
7 févr. 2024 09:34:03 CET,"57,5"
7 févr. 2024 09:34:18 CET,"56,5"
7 févr. 2024 09:34:33 CET,"57,5"
7 févr. 2024 09:34:48 CET,"57,2"
7 févr. 2024 09:35:03 CET,"53,6"
7 févr. 2024 09:35:18 CET,"55,4"
7 févr. 2024 09:35:34 CET,"59,1"
7 févr. 2024 09:35:49 CET,"58,4"
7 févr. 2024 09:36:04 CET,"53,6"
7 févr. 2024 09:36:19 CET,"58,5"
7 févr. 2024 09:36:34 CET,"57,2"
7 févr. 2024 09:36:49 CET,"57,6"
7 févr. 2024 09:37:04 CET,"58,7"
7 févr. 2024 09:37:19 CET,"59,1"
7 févr. 2024 09:37:34 CET,"57,7"
7 févr. 2024 09:37:49 CET,"58,3"
7 févr. 2024 09:38:04 CET,"60,1"
7 févr. 2024 09:38:19 CET,"59,7"
7 févr. 2024 09:38:34 CET,"60,1"
7 févr. 2024 09:38:49 CET,"60,5"
7 févr. 2024 09:39:05 CET,"61,1"
7 févr. 2024 09:39:20 CET,"59,8"
7 févr. 2024 09:39:35 CET,"57,8"
7 févr. 2024 09:40:05 CET,"56,5"
7 févr. 2024 09:40:20 CET,"57,2"
7 févr. 2024 09:40:35 CET,"57,3"
7 févr. 2024 09:40:50 CET,"57,4"
7 févr. 2024 09:41:05 CET,"55,9"
7 févr. 2024 09:41:20 CET,"56,7"
7 févr. 2024 09:41:50 CET,"58,3"
7 févr. 2024 09:42:05 CET,"57,0"
7 févr. 2024 09:42:20 CET,"55,6"
7 févr. 2024 09:42:35 CET,"57,0"
7 févr. 2024 09:42:51 CET,"58,3"
7 févr. 2024 09:43:06 CET,"59,2"
7 févr. 2024 09:43:21 CET,"57,9"
7 févr. 2024 09:43:36 CET,"57,3"
7 févr. 2024 09:43:51 CET,"59,6"
7 févr. 2024 09:44:06 CET,"60,1"
7 févr. 2024 09:44:36 CET,"62,7"
